Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
379,Josh Richardson,SG,29,SAS,21,3,23.2,3.7,9,0.413,1.9,5,0.368,1.9,4,0.47,0.516,1.4,1.6,0.853,0.5,1.9,2.4,2.9,0.8,0.1,1.8,1.7,10.7
380,Austin Rivers,SG,30,MIN,18,3,15.1,0.9,2.9,0.308,0.4,1.7,0.226,0.5,1.2,0.429,0.375,0.8,0.8,0.933,0,1.1,1.1,1.1,0.2,0.1,0.4,1.3,2.9
381,Duncan Robinson,SF,28,MIA,20,0,17,2.1,5.7,0.36,1.4,4.3,0.326,0.7,1.4,0.464,0.482,0.8,0.9,0.941,0.3,1.7,2,1.3,0.2,0,0.7,1.9,6.3
382,Mitchell Robinson,C,24,NYK,20,19,24.3,3.3,4.7,0.71,0,0,,3.3,4.7,0.71,0.71,0.8,1.7,0.455,4.2,4,8.2,0.8,0.6,1.9,0.6,3,7.4
383,Orlando Robinson,C,22,MIA,2,0,20,3,6.5,0.462,0,1.5,0,3,5,0.6,0.462,1,1.5,0.667,1,3.5,4.5,0.5,1,0.5,0.5,2.5,7
384,Jeremiah Robinson-Earl,PF,22,OKC,26,18,21.1,3.3,6.7,0.489,1.1,2.9,0.382,2.2,3.8,0.571,0.572,0.8,1.1,0.786,2,3,5,1,0.7,0.4,0.6,1.9,8.5
385,Isaiah Roby,PF,24,SAS,23,1,12.8,1.9,4.1,0.453,0.6,1.7,0.35,1.3,2.4,0.527,0.526,0.4,1,0.435,0.5,2.3,2.8,1.3,0.5,0.3,0.7,1.3,4.8
386,David Roddy,PF,21,MEM,27,1,19.1,2.3,5.9,0.399,1,3.1,0.306,1.4,2.7,0.507,0.481,0.7,1,0.714,0.7,1.9,2.6,0.7,0.3,0.3,0.7,1.5,6.4
387,Ryan Rollins,PG,20,GSW,7,0,6.1,0.7,2.1,0.333,0.4,1.1,0.375,0.3,1,0.286,0.433,0.3,0.3,1,0.1,0.9,1,0.4,0,0,1.7,1.3,2.1
388,Derrick Rose,PG,34,NYK,21,0,13.6,2.6,6.4,0.4,0.8,2.3,0.347,1.8,4.1,0.43,0.463,0.5,0.5,1,0.4,1.4,1.8,2,0.3,0.2,0.8,0.7,6.4
389,Terrence Ross,SG,31,ORL,26,8,23.7,3.2,7.6,0.419,1.6,4.2,0.389,1.6,3.5,0.456,0.525,0.3,0.5,0.692,0.3,1.8,2.2,1.2,0.7,0.2,1.2,1.5,8.3
390,Terry Rozier,PG,28,CHO,20,20,37.3,8.5,21.3,0.399,2.7,8.4,0.317,5.9,13,0.452,0.461,2.7,3.3,0.831,1.3,3.6,4.9,5.5,0.7,0.2,2.6,2.3,22.4
