Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
236,Tre Jones,PG,23,SAS,41,41,29.9,5.2,11.8,0.444,0.8,2.7,0.279,4.5,9,0.493,0.476,2.3,2.6,0.889,0.8,2.9,3.7,6.4,1.4,0.2,1.9,1.6,13.5
237,Tyus Jones,PG,26,MEM,41,7,23.7,4.1,9.1,0.453,1.6,4,0.396,2.5,5.1,0.498,0.54,1.1,1.4,0.776,0.4,1.9,2.2,4.8,1,0,1,0.4,10.9
238,DeAndre Jordan,C,34,DEN,28,3,14,2,2.6,0.757,0,0,1,2,2.6,0.753,0.764,0.6,1.3,0.472,1.3,3.8,5.1,0.8,0.2,0.7,1,1.7,4.6
239,Cory Joseph,PG,31,DET,35,2,15.6,1.7,4.2,0.392,0.6,1.8,0.313,1.1,2.4,0.452,0.459,0.7,1,0.765,0.3,1,1.3,3.1,0.4,0.1,0.7,1.5,4.6
240,Nikola Jović,PF,19,MIA,15,8,13.6,1.9,4.6,0.406,0.5,2.3,0.229,1.3,2.3,0.588,0.464,1.2,1.3,0.947,0.6,1.5,2.1,0.7,0.5,0.1,0.7,1.3,5.5
241,Mfiondu Kabengele,PF,25,BOS,1,0,8,1,2,0.5,0,1,0,1,1,1,0.5,0,0,,3,1,4,0,0,0,0,1,2
242,Frank Kaminsky,C,29,ATL,21,0,7.6,1.1,1.9,0.59,0.5,1,0.5,0.6,0.8,0.706,0.731,0.5,0.6,0.833,0.1,1.5,1.6,0.9,0.1,0,0.3,0.9,3.2
243,Trevor Keels,SG,19,NYK,1,0,1,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,0,0,0,0
244,Luke Kennard,SG,26,LAC,29,8,22.1,3.1,6.3,0.489,1.9,4,0.462,1.2,2.3,0.537,0.636,0.7,0.7,0.95,0.2,2.3,2.5,1.2,0.6,0.1,0.9,1.4,8.7
245,Walker Kessler,C,21,UTA,41,7,19,3,4.2,0.703,0,0,,3,4.2,0.703,0.703,1,1.7,0.557,2.5,4.2,6.7,0.7,0.3,1.9,0.7,2.3,6.9
