,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,All-Star Probability,Conference
379,380,Austin Rivers,Guard,30,MIN,18,3,15.1,0.9,2.9,0.308,0.4,1.7,0.226,0.5,1.2,0.429,0.375,0.8,0.8,0.933,0.0,1.1,1.1,1.1,0.2,0.1,0.4,1.3,2.9,7.265432e-05,West
410,409,Marcus Smart,Guard,28,BOS,26,26,33.2,4.2,9.7,0.437,1.8,5.3,0.345,2.4,4.3,0.549,0.532,1.4,1.8,0.766,0.5,2.7,3.2,7.2,1.3,0.4,2.4,3.0,11.7,7.052881e-05,East
27,28,Scottie Barnes,Frontcourt,21,TOR,25,24,33.6,5.8,12.9,0.453,1.2,3.6,0.333,4.6,9.3,0.5,0.5,1.6,2.2,0.709,1.8,5.2,7.0,4.8,0.8,0.8,2.4,1.7,14.4,6.860993e-05,East
38,39,Patrick Beverley,Guard,34,LAL,21,21,26.5,1.4,4.7,0.303,0.8,3.2,0.254,0.6,1.5,0.406,0.389,0.9,1.2,0.76,0.6,3.1,3.7,2.4,0.9,0.5,0.9,2.9,4.6,6.354327e-05,West
164,165,Jeff Green,Frontcourt,36,DEN,20,3,19.4,2.9,5.3,0.543,0.4,1.3,0.28,2.5,4.0,0.625,0.576,1.6,2.1,0.756,0.8,2.0,2.7,1.3,0.4,0.3,1.0,2.0,7.6,6.257728e-05,West
26,27,Harrison Barnes,Frontcourt,30,SAC,27,27,31.3,4.2,8.7,0.483,1.1,3.7,0.29,3.1,5.0,0.627,0.545,4.2,5.1,0.826,1.0,4.4,5.3,1.9,0.7,0.1,1.3,1.4,13.7,6.1265375e-05,West
449,448,Franz Wagner,Frontcourt,21,ORL,29,29,33.5,7.2,14.7,0.493,1.4,4.2,0.344,5.8,10.5,0.553,0.542,4.0,4.6,0.866,0.8,3.3,4.1,3.6,0.8,0.3,2.5,2.4,19.9,5.9314447e-05,East
50,51,Chris Boucher,Frontcourt,30,TOR,24,0,23.0,3.9,8.6,0.451,0.8,3.0,0.282,3.0,5.6,0.541,0.5,2.6,3.5,0.747,2.2,3.8,6.0,0.5,0.8,0.9,0.6,2.5,11.2,5.8984475e-05,East
442,441,Jarred Vanderbilt,Frontcourt,23,UTA,28,26,24.9,3.7,6.1,0.606,0.4,1.0,0.414,3.3,5.0,0.645,0.641,1.0,1.5,0.667,2.5,5.7,8.3,2.8,1.2,0.3,1.5,2.9,8.8,5.7781603e-05,West
302,303,Khris Middleton,Frontcourt,31,MIL,6,6,24.7,4.0,10.8,0.369,1.7,5.5,0.303,2.3,5.3,0.438,0.446,2.8,3.2,0.895,0.2,2.5,2.7,4.3,0.5,0.2,1.2,2.2,12.5,5.6853834e-05,East
444,443,Devin Vassell,Guard,22,SAS,22,17,31.7,7.3,16.1,0.452,2.9,7.0,0.413,4.4,9.0,0.482,0.542,2.4,3.0,0.815,0.2,3.8,4.0,3.5,1.0,0.4,1.5,1.5,19.9,5.400125e-05,West
194,195,George Hill,Guard,36,MIL,27,0,19.9,1.6,3.7,0.424,0.6,1.9,0.327,0.9,1.7,0.532,0.51,1.0,1.5,0.7,0.4,1.7,2.0,2.5,0.4,0.1,0.9,1.2,4.8,5.2621253e-05,East
1,2,Steven Adams,Frontcourt,29,MEM,24,24,26.7,3.6,5.9,0.61,0.0,0.0,0.0,3.6,5.8,0.614,0.61,0.8,2.7,0.292,4.8,5.7,10.5,2.3,0.8,1.0,2.1,2.3,8.0,5.199003e-05,West
91,92,Mike Conley,Guard,35,UTA,19,18,29.0,3.5,8.8,0.395,1.9,5.1,0.381,1.5,3.7,0.414,0.506,1.5,1.9,0.784,0.4,1.8,2.2,7.7,1.1,0.3,1.6,2.1,10.4,4.8684953e-05,West
96,97,Cade Cunningham,Guard,21,DET,12,12,33.3,7.8,18.7,0.415,1.4,5.1,0.279,6.3,13.6,0.466,0.453,3.0,3.6,0.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9,4.8287035e-05,East
213,214,Jaren Jackson Jr.,Frontcourt,23,MEM,11,11,26.3,6.4,12.5,0.511,1.8,5.0,0.364,4.5,7.5,0.61,0.584,3.8,5.0,0.764,1.8,4.4,6.2,0.4,1.0,3.6,1.7,2.9,18.4,4.779523e-05,West
78,79,Wendell Carter Jr.,Frontcourt,23,ORL,15,15,32.9,5.8,11.3,0.515,1.2,3.5,0.346,4.6,7.8,0.59,0.568,3.8,4.6,0.826,2.1,6.9,9.1,3.3,0.5,0.5,2.6,3.2,16.6,4.5241202e-05,East
92,93,Pat Connaughton,Guard,30,MIL,11,0,19.8,2.4,7.5,0.313,1.5,5.5,0.262,0.9,2.0,0.455,0.41,0.8,1.0,0.818,0.8,2.8,3.6,0.7,0.7,0.2,0.5,1.1,7.0,4.489694e-05,East
317,318,Monte Morris,Guard,27,WAS,24,24,27.9,3.8,8.4,0.458,1.3,3.5,0.386,2.5,4.9,0.508,0.537,0.8,1.1,0.741,0.4,3.0,3.4,5.3,0.7,0.2,0.9,1.5,9.8,4.471505e-05,East
